user,combined_score,pagerank,degree_centrality,betweenness_centrality
88,0.7,0.06291755390913922,0.3450920245398773,0.0
3998,0.4159212066488297,0.01584895852691536,0.11503067484662577,0.002151008830209305
13813,0.3757237897433937,0.005199683308152568,0.049079754601226995,0.0029991612714747487
35376,0.2952935516543601,0.005565298743527695,0.018404907975460124,0.0024384382686381497
9021,0.2633749212389613,0.01504044308293109,0.027607361963190184,0.0014371471921442237
67382,0.20515424751237293,0.0025943017599430436,0.019938650306748466,0.0017127967355554928
103447,0.1909016673676656,0.003774454688981094,0.01687116564417178,0.001521962436270768
11991,0.18124108036360104,0.004871196215613267,0.03067484662576687,0.0012357109873436809
6940,0.17633116340235966,0.012122243603606015,0.02147239263803681,0.0008057448192021713
98204,0.1588726991906309,0.0017644114378246136,0.019938650306748466,0.0013028563889438617
